id;name;code;email;description
1;Virtual;wireless bus Tools;Fiona32@yahoo.com;AGP open-source
2;CFA;Tasty;Hildegard52@hotmail.com;Savings Wisconsin
3;solution-oriented set;maximize;Davonte5@yahoo.com;open-source Won
4;Granite Concrete Unbranded;distributed;Tamia61@gmail.com;salmon Cotton withdrawal
5;Computer;Cotton 1080p Steel;Clay_Waelchi@gmail.com;multi-byte
6;Account mint;asynchronous Card;Enrique_Gutmann@hotmail.com;Fish USB RAM
7;Berkshire quantifying Sausages;asymmetric;Rosalinda.Fadel@yahoo.com;Quality Berkshire Baby
8;Electronics Illinois Licensed;Rial;Adell66@gmail.com;Shoes
9;orchestrate Berkshire;Fresh;Maude.Schiller76@yahoo.com;payment
10;Granite Pants;website networks;Priscilla.Little@hotmail.com;Congo Senior hacking
