id;name;objective;description;start_date;end_date;estimated_time
1;Associate;bi-directional Borders;Shilling backing;2023-04-03;2023-04-03;77626
2;SAS Grocery;Nevada;markets;2023-04-03;2023-04-03;43626
3;Security;e-markets frame microchip;Cambridgeshire;2023-04-03;2023-04-03;33519
4;matrix Car;green PNG;pink Fish;2023-04-03;2023-04-03;4066
5;relationships;brand Buckinghamshire Avon;regional;2023-04-03;2023-04-03;97688
6;GB bus;Movies Direct Berkshire;users;2023-04-03;2023-04-03;33052
7;scale wireless;Integrated Factors;XSS;2023-04-03;2023-04-03;39717
8;haptic;Fresh Cross-platform HTTP;Administrator stable intuitive;2023-04-03;2023-04-03;55613
9;Incredible Practical Avon;Meadows Soft system;Berkshire;2023-04-02;2023-04-03;94235
10;backing task-force;Pula;group;2023-04-03;2023-04-03;76334
