id;name;code;domain;description;status;start_date;end_date;billable
1;contextually-based Alaska Fresh;Table Micronesia;Center;payment utilize Account;ACTIVE;2023-04-02;2023-04-03;true
2;technologies Soft Senior;Assistant Bike;Guadeloupe digital;Malagasy Alley Practical;ACTIVE;2023-04-03;2023-04-03;false
3;Supervisor index Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;SIGNING;2023-04-03;2023-04-03;false
4;Intelligent specifically magenta;Assurance systemic;International open-source;Jewelery application users;ACTIVE;2023-04-03;2023-04-03;false
5;program;input;actuating Corporate quantifying;digital parsing;SIGNING;2023-04-03;2023-04-03;true
6;Technician;synthesizing Gloves;Villages world-class;indexing Bedfordshire;SIGNING;2023-04-03;2023-04-02;false
7;impactful;matrix;Metal matrix back-end;Cross-group compelling;ACTIVE;2023-04-03;2023-04-03;false
8;supply-chains;South;teal e-services;International networks;INACTIVE;2023-04-02;2023-04-03;true
9;Dollar;salmon Bedfordshire;Ball PCI Arabia;strategy black;ACTIVE;2023-04-03;2023-04-03;false
10;system Handmade;Refined Borders scalable;Swiss;Architect;ACTIVE;2023-04-03;2023-04-03;false
