id;number;status;goal;start_date;end_date
1;42607;FUTURE;Architect;2023-04-03;2023-04-03
2;31623;CLOSED;generate;2023-04-03;2023-04-03
3;80067;CLOSED;context-sensitive;2023-04-03;2023-04-03
4;79566;CLOSED;web-enabled;2023-04-02;2023-04-03
5;76376;CLOSED;cultivate;2023-04-03;2023-04-03
6;80331;CLOSED;Plastic Fords;2023-04-02;2023-04-03
7;18394;CLOSED;Configuration;2023-04-03;2023-04-03
8;87771;FUTURE;Licensed;2023-04-03;2023-04-03
9;46630;ACTIVE;Account monetize deposit;2023-04-02;2023-04-02
10;97108;FUTURE;Steel Applications Wyoming;2023-04-03;2023-04-03
