id;title;description;status;start_date;estimated_time;time_logged;story_points;priority;assignee;reporter
1;withdrawal Avon rich;payment matrices payment;TODO;2023-04-03;99218;2316;63818;LOWEST;morph South;Frozen Central circuit
2;state Wisconsin withdrawal;Lead Officer Fresh;TODO;2023-04-03;79811;83739;34312;MEDIUM;Bacon Health calculating;Reduced
3;Avon recontextualize Fantastic;sensor;DONE;2023-04-02;3066;98202;88259;MEDIUM;Executive invoice;navigate Valley Chips
4;Account;THX Rustic;IN_PROGRESS;2023-04-03;17553;51586;64811;LOW;Refined compressing;Marino
5;York Frozen;Shirt purple Reduced;DONE;2023-04-03;28945;1405;54973;HIGH;card collaboration to;compressing heuristic Franc
6;reintermediate Investor intangible;Designer coherent;IN_PROGRESS;2023-04-03;40676;55792;56292;HIGH;Computer Costa Orchestrator;real-time withdrawal Cotton
7;Outdoors synergize;Checking Dollar Borders;IN_PROGRESS;2023-04-03;55318;71111;84749;LOWEST;Ergonomic pixel;yellow Account
8;Mississippi;Unbranded;IN_PROGRESS;2023-04-03;30786;38839;20050;HIGHEST;deliverables;bifurcated payment
9;Mouse digital;microchip;READY_FOR_QA;2023-04-03;93346;58101;69852;HIGHEST;Iowa JBOD approach;Factors
10;Lead;THX;TODO;2023-04-03;5390;89662;32156;MEDIUM;Specialist;Frozen
